,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
0,1003,Camptothecin,TOP1,DNA replication,"Camptothecine, (+)-Camptothecin",CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,TOP1
1,1004,Vinblastine,Microtubule destabiliser,Mitosis,Velban,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,TUBB
2,1005,Cisplatin,DNA crosslinker,DNA replication,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",N.N.Cl[Pt]Cl,DNA
3,1006,Cytarabine,Antimetabolite,Other,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,DNA synthesis
4,1007,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere",CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,TUBB
5,1008,Methotrexate,Antimetabolite,DNA replication,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,DHFR
6,1009,Tretinoin,Retinoic acid,Other,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,"RARA,RARB,RARG"
7,1010,Gefitinib,EGFR,EGFR signaling,"ZD-1839, Iressa",COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,EGFR
8,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,"ABT-263, ABT263, ABT 263",CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,"BCL2,BCL2L1,BCL2L2"
9,1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10"
10,1013,Nilotinib,ABL,ABL signaling,"Tasigna, AMN 107",CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,ABL1
11,1014,Refametinib,"MEK1, MEK2",ERK MAPK signaling,"RDEA119, BAY-86-9766, BAY 869766",COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F,"MAP2K1,MAP2K2"
12,1016,Temsirolimus,MTOR,PI3K/MTOR signaling,"CCI-779, Torisel",C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,MTOR
13,1017,Olaparib,"PARP1, PARP2",Genome integrity,"AZD2281, KU0059436,  Lynparza",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,"PARP1,PARP2"
14,1018,Veliparib,"PARP1, PARP2",Genome integrity,"ABT-888, ABT888, ABT 888",C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,"PARP1,PARP2"
15,1019,Bosutinib,"SRC, ABL, TEC","Other, kinases","SKI-606, Bosulif",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,"SRC,ABL1,TEC"
16,1020,Lenalidomide,CRBN,Protein stability and degradation,"CDC-501, CC-5013, Revlimid",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,CRBN
17,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,"AG-13736, Inlyta",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,"PDGFRA,KIT,FLT1,KDR,FLT4"
18,1022,AZD7762,"CHEK1, CHEK2",Cell cycle,"AZD-7762, AZD 7762",C1C[C@@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,"CHEK1,CHEK2"
19,1023,GW441756,NTRK1,RTK signaling,GW 441756,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O,NTRK1
20,1024,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases","CEP-701, SP-924, SPM-924, A-154475, KT-555",C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,"FLT3,JAK2,NTRK1,NTRK2,NTRK3"
21,1025,SB216763,"GSK3A, GSK3B",WNT signaling,"SB-216763, SB 216763",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,"GSK3A,GSK3B"
22,1026,Tanespimycin,HSP90,Protein stability and degradation,"17-AAG, BMS-722782",C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,HSP90AA1
23,1029,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,"AMG-706, AMG 706, AMG706",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,"KDR,RET,KIT,PDGFRL"
24,1030,KU-55933,ATM,Genome integrity,KU55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,ATM
25,1031,Elesclomol,HSP90,Protein stability and degradation,STA-4783,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,HSP90AA1
26,1032,Afatinib,"EGFR, ERBB2",EGFR signaling,"BIBW2992, Tovok, Gilotrif",CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,"EGFR,ERBB2"
27,1033,Vismodegib,SMO,Other,"GDC0449, Erivedge",CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,SMO
28,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,-,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,RTK
29,1036,PLX-4720,BRAF,ERK MAPK signaling,"PLX4720, PLX 4720",CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,BRAF
30,1037,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",BX-795,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,"TBK1,PDPK1,IKBKB,AURKB,AURKC"
31,1038,NU7441,DNAPK,Genome integrity,"KU-57788, NU-7432, NU-7741",C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,PRKDC
